,Brand Name,Product Name,Page number of Product,Product Price ($),Average Rating,Availability of Free Delivery,Seller Name,Additional Tags
0,iTouch,iTouch Sport Silicone Strap Smartwatches with Pedometer,1,59.99,4.4,True,NA,NA
1,iTouch,iTouch Slim Fitness Trackers with Interchangeable Strap,1,29.99,4.2,False,NA,NA
2,iTouch,iTouch Sport 2 Smartwatch Fitness Tracker Body Temperature Heart Rate Step Counter Sleep Monitor IP68 Waterproof for Women and Men up to 30 Day Battery Touch Screen Compatible w Android & IOS (43mm),1,59.99,4.6,True,NA,NA
3,iTouch,"iTouch Air 3 Smartwatch Fitness Tracker Heart Rate Step Counter Sleep Monitor Message IP68 Swimming Waterproof for Women and Men, up to 30 day Battery Touch Screen Compatible with Android & IOS (44mm)",1,59.99,4.7,True,NA,NA
4,Timex,"Men's Ironman Classic 30 Oversized Watch, Black Resin Strap",1,35.7,4.6,True,InfoSales,NA
5,Casio,Casio Men's Classic Resin Strap Sport Watch F91W-1,1,12.95,4.1,True,NSA ELECTRONICS,Best Seller
6,Casio,Casio Women's Casual Classic Analog Watches LQ139,1,10.98,4.0,False,NA,Rollback
7,Geneva,Elecmall Stylish Stainless Steel Analog Quartz Wrist Watch,1,6.99,3.4,False,fulfilled by Walmart,Clearance
8,Zodaca,White Unisex Men Women Silicone Jelly Quartz Analog Sports Wrist Watch New,1,6.99,3.8,True,eForCity,NA
9,Casio,Classic Analog Water Resistant Watch w/ Resin Band - MQ24 - 10 Styles,1,11.99,4.5,True,AreaTrend,Reduced Price
10,Timex,"Carriage Women's Carolyn Watch, Black Croco Pattern Strap",2,20.99,3.9,True,Shopemco,NA
11,Michael Kors,Michael Kors Women's Camille Crystal Stainless Steel Watch,2,225.0,4.8,True,Clocks4Less,Best Seller
12,Casio,"Men's Ana-Digi Watch, Black/Gold, AEQ110BW-9AVCF",2,28.0,5.0,False,NA,NA
13,Timex,Timex Men's Easy Reader Date 35mm Leather Strap Watches,2,31.5,4.6,False,NA,NA
14,Timex,Timex Easy Reader Expansio Ladies Watch T2P294,2,26.74,3.2,True,Perfect Deals,Reduced Price
15,Michael Kors,Michael Kors Women's Parker Chronograph Watch,2,159.0,4.4,True,Watchshopping.com Inc.,NA
16,Casio,Casio Men's Black Dive-Style Sport Watch MDV106-1AV,2,48.06,4.6,True,My Gift Stop,NA
17,Casio,"Men's Data Bank Calculator Watch, Black Resin Strap",2,24.8,4.8,False,NA,NA
18,Fossil,Fossil Men's Machine Modern Chronograph Watch (Style: FS4931),2,94.18,4.6,True,AreaTrend,Rollback
19,Casio,Casio Men's Digital Illuminator Sport Watches F108WH,2,13.68,4.7,False,NA,Rollback
20,Timex,"Men's Expedition Metal Field Watch, Brown Leather Strap",3,39.9,4.6,True,NA,NA
21,Timex,Timex Men's Easy Reader Date 33mm Stainless Steel Expansion Band Watches,3,37.05,4.4,False,NA,Best Seller
22,Timex,Timex Women's Ironman Essential 10 Mid-Size Resin Strap Watches,3,29.56,4.0,True,InfoSales,New
23,Timex,Expedition CAT Expedition Mens Watch / Digital,3,44.69,5.0,True,VirVentures,NA
24,Timex,"Men's Expedition Metal Field Watch, Brown Leather Strap",3,46.0,4.2,True,Top One International Corp.,Reduced Price
25,Timex,Timex Men's Highland Street Stainless Steel Expansion Band Watches,3,42.0,4.3,True,NA,NA
26,Timex,Timex Women's Dress Watch | Two-Tone Band White Dial | Elevated Classic T2N068,3,43.99,4.3,True,Timex,Reduced Price
27,Timex,Timex Women's Cavatina Stainless Steel Expansion Band Watches,3,34.92,4.0,False,NA,NA
28,Timex,Timex Men's Easy Reader 38mm Stainless Steel Expansion Band Watches,3,42.0,4.3,True,NA,NA
29,Timex,"Men's Ironman Essential 10 Full-Size Watch, Black Resin Strap",3,32.9,3.4,False,NA,NA
30,Disney,FROZEN 2 SMART WATCH w. PLASTIC CASE PRINTED SILICONE STRAP,4,22.53,0.0,False,NA,NA
31,Timex,"Timex Men's Expedition Scout Green Watch, Nylon Strap",4,52.81,3.7,True,VirVentures,NA
32,Gucci,Gucci Unisex Sync Rubber Strap 46mm Watches,4,315.0,4.5,False,Timepieces,Best Seller
33,Timex,Women's Ironman 100m 30 Lap Digital White Tone Resin Watch TW5K89400,4,29.99,5.0,True,The Perfect Watch,NA
34,Armitron,Armitron Unisex Round Digital Sport Watches,4,15.47,3.9,False,NA,NA
35,Armitron,Armitron Mens Black Digital Watch,4,16.97,0.0,False,NA,NA
36,Timex,"Women's Casey Dress Watch, Silver-Tone Stainless Steel Mesh Bracelet",4,38.94,4.6,True,InfoSales,NA
37,Anself,DM100 4G Smart Watch Sports WiFi BT Smartwatch 2.86 Inch Touch Screen Android 7.1 3GB/32GB Music Player Phone Call 5MP Camera IP67 Waterproof Support Nano SIM Card Heart Rate Pedometer,4,137.99,2.9,False,fulfilled by Walmart,Reduced Price
38,Timex,Timex Women's Ironman Classic 30 Mid-Size Resin Strap Watch,4,38.0,4.5,True,NA,NA
39,Timex,"Men's Expedition Scout 40 Blue/Brown/Gray Watch, Leather/Nylon Strap",4,42.0,3.8,True,NA,NA
40,Casio,Casio Men's Stainless Steel Analog Bracelet Watches MTP1215A,5,34.95,3.0,False,NA,NA
41,Timex,"Men's Expedition Digital CAT Watch, Black Fast Wrap Strap",5,37.8,4.7,True,NA,NA
42,Timex,"Men's Expedition Acadia Black/Brown/White Watch, Leather/Nylon Strap",5,35.43,3.8,True,InfoSales,NA
43,Timex,"Men's Expedition Scout 40 Green/Gray Watch, Leather/Nylon Strap",5,42.0,3.5,True,NA,NA
44,iTouch,iTouch Slim Fitness Trackers with Interchangeable Strap,5,29.99,4.2,False,NA,NA
45,Casio,"Men's Classic Digital Watch, Black Resin Strap",5,14.5,4.5,False,NA,NA
46,Timex,"Marathon Women's Digital Mid-Size White/Silver-Tone Watch, Resin Strap",5,15.88,4.2,False,NA,NA
47,SKMEI,SKMEI 1243 Digital Electronic Men Watch Fashion Casual Outdoor Sports Male Wristwatch Dual Time Date Week Countdown Chrono Alarm 5ATM Waterproof Backlight Multifunctional Watches Relogio Masculino,5,9.59,0.0,True,Joybuy,Reduced Price
48,Casio,Casio Men's Multi-Function Stainless Steel Analog-Digital Watches AMW860D,5,68.47,4.8,True,NA,Rollback
49,Gucci,Gucci Mens Fully Iced Out Diamond Gucci Watch 12 Ct,5,5499.99,0.0,True,Jewelry Unlimited Inc,NA
50,Anself,Women Fashion Brilliant Starry Night Dial Watch Lady Exquisite Heart-Shaped Calendar Quartz Wrist Watch,6,7.47,4.3,False,fulfilled by Walmart,Reduced Price
51,Armitron,Women's Dress Oval Watch and Bracelet Set,6,41.18,4.0,False,NA,NA
52,Armitron,Armitron Women's Diamond Dial Leather Strap Dress Watches,6,22.99,4.0,False,NA,NA
53,Timex,"Women's New England Silver-Tone Dial Watch, Brown Leather Strap",6,49.0,4.4,True,Top One International Corp.,Reduced Price
